personaLabel	genderLabel	age	coord	articolo
Adriano Aprà	maschio	79	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Adriano_Apr%C3%A0
Adriano Aragozzini	maschio	81	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Adriano_Aragozzini
Adriano Barone	maschio	43	Point(9.033333333 45.533333333)	https://it.wikipedia.org/wiki/Adriano_Barone
Adriano Braidotti	maschio	41	Point(13.804166666 45.636111111)	https://it.wikipedia.org/wiki/Adriano_Braidotti
Adriano Caprioli	maschio	83	Point(8.883333333 45.65)	https://it.wikipedia.org/wiki/Adriano_Caprioli
Adriano Cario	maschio	47	Point(-56.166666666 -34.866944444)	https://it.wikipedia.org/wiki/Adriano_Cario
Adriano Celentano	maschio	81	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Adriano_Celentano
Adriano Chiaramida	maschio	78	Point(10.316666666 43.55)	https://it.wikipedia.org/wiki/Adriano_Chiaramida
Adriano Ciaffi	maschio	83	Point(13.453302777 43.30025)	https://it.wikipedia.org/wiki/Adriano_Ciaffi
Adriano Galliani	maschio	75	Point(9.273611111 45.584722222)	https://it.wikipedia.org/wiki/Adriano_Galliani
Adriano Giannini	maschio	48	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Adriano_Giannini
Adriano La Regina	maschio	82	Point(14.25 40.833333333)	https://it.wikipedia.org/wiki/Adriano_La_Regina
Adriano Musi	maschio	71	Point(13.61155 41.64705)	https://it.wikipedia.org/wiki/Adriano_Musi
Adriano Pantaleo	maschio	36	Point(14.25 40.833333333)	https://it.wikipedia.org/wiki/Adriano_Pantaleo
Adriano Pappalardo	maschio	74	Point(18.05 40.266666666)	https://it.wikipedia.org/wiki/Adriano_Pappalardo
Adriano Paroli	maschio	57	Point(10.220280555 45.538888888)	https://it.wikipedia.org/wiki/Adriano_Paroli
Adriano Petta	maschio	74	Point(14.316666666 41.6)	https://it.wikipedia.org/wiki/Adriano_Petta
